Town,State,ZipCode,System Code,Utility Name,Contaminant Name,Potential Effect,Times Above Guideline,Utility Level,PFAS Name,Detects Samples,Percent Detected,Range,Dates,Proposed Limit
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Chloroform,Potential Effect: cancer,54x,21.8 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Dibromoacetic acid,Potential Effect:,13x,0.540 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Dibromochloromethane,Potential Effect: cancer,22x,2.16 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Dichloroacetic acid,Potential Effect: cancer,95x,18.9 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Haloacetic acids (HAA5)†,Potential Effect: cancer,273x,27.3 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Nitrate and nitrite,Potential Effect: cancer,3.5x,0.483 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,215x,32.2 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Trichloroacetic acid,Potential Effect: cancer,61x,6.09 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Aluminum,Unknown,Unknown,17.1 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Atrazine,Unknown,Unknown,0.110 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Barium,Unknown,Unknown,58.8 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Bromoform,Unknown,Unknown,0.0709 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Cyanide,Unknown,Unknown,10.00 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Fluoride,Unknown,Unknown,0.455 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Hexadecanoic acid,Unknown,Unknown,2.70 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Manganese,Unknown,Unknown,5.90 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Monochloroacetic acid,Unknown,Unknown,1.70 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Nitrate,Unknown,Unknown,0.280 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,Nitrite,Unknown,Unknown,0.00333 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,,,,,PFBA,4 / 4,100%,7.4 - 7.8 ppt,12/14/2023 - 12/15/2023,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,,,,,PFBS,4 / 4,100%,3.8 - 4.3 ppt,12/14/2023 - 12/15/2023,Hazard Index
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,,,,,PFHxA,4 / 4,100%,6.5 - 7.2 ppt,12/14/2023 - 12/15/2023,
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,,,,,PFHxS,4 / 4,100%,3.6 - 4.0 ppt,12/14/2023 - 12/15/2023,Hazard Index
HOUSTON,TX,77027-7537,TX1012677,Harris County Municipal Utility District 285,,,,,PFPeA,4 / 4,100%,7.5 - 8.2 ppt,12/14/2023 - 12/15/2023,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,Arsenic,Potential Effect: cancer,813x,3.25 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,Uranium,Potential Effect: cancer,4.4x,1.88 pCi/L,,,,,,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,Barium,Unknown,Unknown,220.0 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,Fluoride,Unknown,Unknown,0.140 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,Nitrate,Unknown,Unknown,0.187 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,Nitrate and nitrite,Unknown,Unknown,0.190 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,Selenium,Unknown,Unknown,10.5 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,,,,,PFBS,1 / 2,50%,0.0 - 4.3 ppt,07/19/2023 - 11/15/2023,Hazard Index
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,,,,,PFHxA,2 / 2,100%,4.2 - 8.5 ppt,07/19/2023 - 11/15/2023,
HOUSTON,TX,77027-7537,TX1012740,Harris County Municipal Utility District 230,,,,,PFPeA,2 / 2,100%,5.6 - 15.0 ppt,07/19/2023 - 11/15/2023,
